Dep Airport,Arr Airport
NGB,SHE
NGB,KOW
NGB,FUO
NGB,HLD
NGB,SYX
NGB,XIY
NGB,HRB
NGB,LHW
NGB,TYN
NGB,XUZ
NKG,CAN
NKG,PEK
NKG,PVG
NKG,JHG
NKG,JZH
NKG,WUH
NKG,CKG
NKG,DLC
NKG,XIY
NKG,KWE
NKG,CTS
NKG,YBP
NKG,HGH
NKG,FOC
NNG,SZX
NNG,WUH
NNG,HAK
NNY,PKX
NRT,YUL
NRT,BOS
NRT,LAX
NRT,IAD
NRT,DFW
NRT,DLC
NTG,PEK
OKA,UKB
OKA,TAK
ORD,PIT
ORD,SFO
PDX,SEA
PEK,WUH
PEK,HGH
PEK,PVG
PEK,MFM
PEK,SHA
PEK,SZX
PEK,HKG
PEK,CGK
PEK,CAN
PEK,CGO
PEK,CGQ
PEK,TAO
PEK,KHH
PEK,SYX
PEK,JHG
PEK,DNH
PEK,NGB
PEK,CTU
PEK,HFE
PEK,CKG
PEK,DLU
PEK,JZH
PEK,LYG
PEK,CSX
PEK,TSN
PEK,FUG
PEK,YIH
PEK,HAK
PEK,MDG
PEK,NNG
PEK,LZH
PEK,SZV
PEK,WEH
PEK,XIY
PEK,URC
PEK,CZX
PEK,SJW
PEK,KMG
PEK,CHW
PEK,LJG
PEK,BAR
PEK,HIA
PEK,HLD
PEK,KWE
PEK,LHW
PEK,SHE
PEK,UYN
PEK,WUX
PEK,YBP
PEK,FOC
PEK,DYG
PEK,YNZ
PEK,BSD
PEK,DGM
PEK,HRB
PEK,HRB
PEK,HYN
PEK,HZC
PEK,KBS
PEK,LYA
PEK,TNA
PEK,TNA
PEK,ZHXF
PEK,ZAT
PEK,ZUNZ
PEK,YNJ
PEK,SWA
PEK,KWL
PEK,DXB
PEK,TLQ
PEK,LXA
PEK,MIG
PEK,WNZ
PEK,KHN
PEK,JJN
PEK,KOW
PEK,AGP
PEK,BAV
PEK,XNN
PEK,KWE
PHL,JFK
PNH,BKK
PNH,KOS
PNH,REP
PRG,FRA
PRG,ARN
PTY,MTY
PTY,JFK
PTY,MVD
PVG,ICN
PVG,ZYI
PVG,SZX
PVG,LHW
PVG,CSX
PVG,JHG
PVG,ZUH
PVG,CTU
PVG,JZH
PVG,KHN
PVG,DIG
PVG,WEF
PVG,SJW
PVG,YNT
PVG,AQG
PVG,JGS
PVG,SYX
PVG,HZC
PVG,SZV
RGN,BKK
RMQ,HKG
RMQ,SZX
RMQ,CAN
RMQ,SGN
RMQ,KNH
RMQ,SGN
RMQ,HAN
RUH,MCT
SAN,LAX
SAN,SFO
SCL,EZE
SDU,GRU
SEA,SFO
SFO,LAS
SFO,BOS
SFO,PDX
SFO,JFK
SFO,PHL
SFO,MCO
SFO,MIA
SFO,BWI
SFO,HKG
SFO,DFW
SGN,HPH
SGN,DAD
SGN,VDH
SGN,SIN
SGN,PNH
SGN,VCL
SHA,TAO
SHA,XIY
SHA,ZUH
SHA,SZX
SHA,TSA
SHA,CAN
SHA,HGH
SHA,CGO
SHA,CTU
SHA,WUH
SHA,TSN
SHA,FUO
SHA,LGJ
SHA,SHE
SHA,HAN
SHA,CSX
SHA,XNN
SHA,RUH
SHA,TLQ
SHA,BKK
SHA,LZH
SHA,TNA
SHA,NGB
SHA,KWE
SHA,XMN
SHA,CGK
SHA,AAT
SHA ,DLC
SHA ,HFE
SHA ,KMG
SHA ,PEK
SHA ,ZGSZ
SHA ,SZX
SHA ,TAO
SHA (TAO),WUX
SHE,NKG
SHE,SZX
SHE,TAO
SHE,TNA
SHE,HLH
SIN,FCO
SIN,BDO
SIN,HKG
SIN,KUL
SIN,BOM
SIN,HAN
SIN,LHR
SIN,DEL
SIN,RGN
SIN,PNH
SIN,ZRH
SIN,JNB
SIN,DXB
SIN,NRT
SIN,SHE
SJW,INC
SJW,KMG
SJW,CTU
SJW,HGH
SL),AMS
SNA,SJC
SNA,DFW
SNA,DFW
SNA,LAS
SNA,PHX
SNA,AUS
STN,FRA
STN,BLL
SUB,HKG
SVO,ICN
SYD,MEL
SYD,BNE
SYX,XMN
SZX,NKG
SZX,SGN
SZX,CGO
SZX,JZH
SZX,SJW
SZX,CTU
SZX,CKG
SZX,NGB
SZX,HAK
SZX,LYA
SZX,LZH
SZX,YNT
SZX,YTY
SZX,DXB
SZX,KMG
SZX,TSN
SZX,WUX
SZX(KWE),ZUH
TAO,TSN
TAO,SZX
TAO,KHN
TAO,HAK
TAO,XIY
TEN,HGH
TFU,YNT
TFU,NTG
TFU,DSN
TFU,HUZ
TFU,UYN
TFU,LLV
TGO,PEK
TLV,ICN
TLV,ETM
TNA,TPE
TNA,PVG
TNA,WUX
TNA,TAO
TNA,HRB
TNA,CKG
TNA,CSX
TNN,CAN
TPE,WNZ
TPE,NGB
TPE,XMN
TPE,KHN
TPE,HFE
TPE,HIA
TPE,WUX
TPE,MFM
TPE,XUZ
TPE,HGH
TPE,NKG
TPE,OKA
TPE,CSX
TPE,KWE
TPE,WUH
TPE,KMG
TPE,SHE
TPE,DAD
TPE,TSN
TPE,PVG
TPE,CEB
TPE,SZX
TPE,HKG
TPE,HND
TPE,CGQ
TPE,MNL
TPE,XIY
TPE,TAO
TPE,HAN
TPE,HRB
TPE,CAN
TPE,RGN
TPE,NGO
TPE,PNH
TPE,KIX
TPE,CTU
TPE,ICN
TPE,NRT
TPE,PEK
TPE,SGN
TPE,CTS
TPE,SIN
TPE,BKK
TPE,KUL
TPE,CGK
TPE,DPS
TPE,DEL
TPE,SYD
TPE,VIE
TPE,LGW
TPE,YVR
TPE,FRA
TPE,CDG
TPE,SEA
TPE,SFO
TPE,LAX
TPE,ONT
TPE,DXB
TPE,ORD
TPE,YYZ
TPE,JFK
TPE,IAH
TPE,FOC
TPE,CKG
TPE,AKJ
TPE,PEN
TPE,FCO
TPE,DYG
TPE,DMK
TPE,DLC
TPE,BKI
TPE,ZUH
TPE,SHA
TPE,MEX
TPE,ELP
TPE,LZN
TSA,TTT
TSA,KNH
TSA,FOC
TSA,XMN
TSA,HGH
TSA,PVG
TSA,TSN
TSA,SHA
TSA,CTU
TSA,HND
TSA,MZG
TSA,WUH
TSE,SVO
TSN,HKG
TSN,PVG
TSN,SZV
TSN,SZX
TSN,FOC
TSN,DLC
TSN,CKG
TXL,CGN
TYN,PEK
TYN,HAK
URC,CGO
VIE,BRU
VIE,TXL
VIE,BKK
VIE,FRA
VTE,PNH
VTE,DMK
WUH,CAN
WUH,CGO
WUH,CGQ
WUH,CKG
WUH,CSX
WUH,DDG
WUH,DLC
WUH,DLU
WUH,DOY
WUH,GOQ
WUH,HAK
WUH,HET
WUH,HFE
WUH,HGH
WUH,HUZ
WUH,INC
WUH,JHG
WUH,JNG
WUH,JNZ
WUH,JZH
WUH,KMG
WUH,KWE
WUH,LFQ
WUH,LJG
WUH,LZH
WUH,NGB
WUH,NKG
WUH,SHA
WUH,SHE
WUH,SJW
WUH,SYX
WUH,SZX
WUH,TAO
WUH,TNA
WUH,TSN
WUH,TVS
WUH,TYN
WUH,URC
WUH,XIC
WUH,XIL
WUH,XIY
WUH,ZAT
WUH,ZUH
WUH,PVG
WUH,KHG
WUH,KWL
WUH,LZO
WUH,SHP
WUH,WUS
WUH,YNZ
WUH,BPE
WUH,GYS
WUH,LXA
WUH,XMN
WUH,YCU
WUH,BPE
WUH,BPE
WUH,YNJ
WUH,HAN
WUH,HND
WUH,XFN
WUH,YIH
WUH,MIG
WUH ,TAO
WUH (SZX),JUH
WUH(SHA),KHN
WUX,CAN
WUX,CKG
WUX,KWE
WUX,KMG
WUX,CSX
WUX,CTU
WUX,SZX
WUX(CKG),ZQZ
XAI,HUZ
XIY,DNH
XIY,LHW
XIY,GOQ
XIY,YTY
XIY,CKG
XIY,SZX
XIY,JJN
XIY,NKG
XIY,TSN
XMN,ZHA
XMN,PEK
XMN,CAN
XMN,CKG
XMN,HKG
YCU,CKG
YCU,CSX
YIW,PEK
YNT,PEK
YNT,CGO
YNT,SHE
YNT,NKG
YNT,PVG
YNT,SZX
YNZ,CKG
YVR,LAS
YYZ,YUL
YYZ,YQB
YYZ,YVR
YYZ,SCL
YYZ,BDL
ZGSZ,DLC
ZHA,SZX
ZRH,BRU
ZRH,HAJ
ZUH,HKG
ZUH,PEK
ZUH,WUH
ZUH,SZX
ZUH,WUX
北京,長沙
汕?,北京
